camp,latitude,longitude
Belzec,50.53,22.20
Auschwitz - Birkenau,50.44,18.2
Chelmno,52.16,17.28
Treblinka,52.37,20.3
Sobibor,51.80,22.38
Majdanek,51.13,22.78
